seed,latent_dim,epochs,learning_rate,batch_size,kl_weight,final_loss
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,512,150,0.0001,128,1.0,0.1485366225242614
2025,512,150,0.0001,128,1.0,0.1459989100694656
2025,512,150,0.0001,128,1.0,0.1459989100694656
2025,512,150,0.0001,128,1.0,0.1459989100694656
2025,512,150,0.0001,128,1.0,0.1459989100694656
2025,512,150,0.0001,128,1.0,0.148081749677658
2025,1024,150,0.0001,128,0.1,0.013238956220448
1024,512,150,0.0001,128,0.1,0.0173438116908073
1024,512,150,0.0001,128,0.1,0.0173438116908073
1024,512,150,0.0001,128,0.1,0.0173438116908073
1024,512,150,0.0001,128,0.1,0.0173438116908073
1024,512,150,0.0001,128,0.1,0.0173438116908073
1024,512,150,0.0001,128,0.1,0.0173438116908073
1024,512,150,0.0001,128,0.1,0.0173438116908073
1024,1024,150,0.0001,128,0.1,0.0136994244530797
1024,1024,150,0.0001,128,0.1,0.0136994244530797
1024,1024,150,0.0001,128,0.1,0.0136994244530797
1024,1024,150,0.0001,128,0.1,0.0136994244530797
1024,1024,150,0.0001,128,0.1,0.0136994244530797
1024,1024,150,0.0001,128,0.1,0.0136994244530797
1024,1024,150,0.0001,128,0.1,0.0136994244530797
2025,2048,150,0.0001,128,0.1,0.0086619732901453
2025,2048,150,0.0001,128,0.1,0.0086619732901453
2025,2048,150,0.0001,128,0.1,0.0086619732901453
2025,2048,80,0.0001,128,0.1,0.0108796870335936
1024,2048,80,0.0001,128,0.1,0.0104449372738599
1024,2048,80,0.0001,128,0.1,0.0104449372738599
1024,2048,80,0.0001,128,0.1,0.0104449372738599
1024,2048,80,0.0001,128,0.1,0.0104449372738599
2025,1024,80,0.0001,128,0.1,0.0115242665633559
2025,512,80,0.0001,128,0.1,0.0133470073342323
2025,1024,80,0.0001,128,0.1,0.0115242665633559
2025,2048,80,0.0001,128,0.1,0.0108796870335936
2025,256,80,0.0001,128,0.1,0.015810402110219
2025,256,80,0.0001,128,0.1,0.015810402110219
2025,256,80,0.0001,128,0.1,0.015810402110219
2025,256,80,0.0001,128,0.1,0.015810402110219
2025,256,80,0.0001,128,0.1,0.015810402110219
2025,1024,80,0.0001,128,0.1,0.0115242665633559
1024,1024,80,0.0001,128,0.1,0.0118381772190332
1024,1024,80,0.0001,128,0.1,0.0118381772190332
1024,1024,80,0.0001,128,0.1,0.0118381772190332
1024,1024,80,0.0001,128,0.1,0.0118381772190332
1024,1024,80,0.0001,128,0.1,0.0118381772190332
1024,1024,80,0.0001,128,0.1,0.0118381772190332
1024,1024,80,0.0001,128,0.1,0.0118381772190332
1024,1024,80,0.0001,128,0.1,0.011838177219033241
